,Å´ÉPÅ[ÉXñºÇì¸óÕ,å¯â uÅÉ1,å¯â 1ÅÖuÅÉ2,å¯â 2ÅÖuÅÉ3,å¯â 3ÅÖuÅÉ10,å¯â uÅÑ10
case300,case1-60-1-0-2-8-0-4-1-0-3,76.21,74.38,74.99,73.70,72.14
case301,case1-60-1-0-2-8-0-8-0-0-3,57.72,59.60,54.89,49.43,44.18
case302,case1-60-1-0-2-8-0-8-1-0-3,78.67,77.75,77.96,75.01,73.28
case303,case1-60-1-0-2-8-0-12-0-0-3,67.14,68.14,69.08,64.88,58.96
case304,case1-60-1-0-2-8-0-12-1-0-3,81.63,82.20,82.22,82.75,80.02
case305,case1-60-1-1-1-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case306,case1-60-1-1-1-2-1-0-0-0-0,50.74,57.86,67.69,64.00,67.13
case307,case1-60-1-1-1-2-1-0-1-0-0,71.69,78.18,82.51,83.49,85.37
case308,case1-60-1-1-1-2-1-4-0-0-3,67.92,71.68,79.53,78.22,77.85
case309,case1-60-1-1-1-2-1-4-1-0-3,78.54,84.86,87.88,88.08,88.83
case310,case1-60-1-1-1-2-1-8-0-0-3,77.39,80.32,86.06,86.45,86.52
case311,case1-60-1-1-1-2-1-8-1-0-3,84.20,88.69,91.71,91.84,92.18
case312,case1-60-1-1-1-2-1-12-0-0-3,81.22,84.51,89.12,89.52,89.87
case313,case1-60-1-1-1-2-1-12-1-0-3,87.36,90.64,93.33,93.66,94.00
case314,case1-60-1-1-1-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case315,case1-60-1-1-1-8-1-0-0-0-0,40.61,52.03,66.37,72.63,75.29
case316,case1-60-1-1-1-8-1-0-1-0-0,55.29,62.72,74.33,79.92,82.81
case317,case1-60-1-1-1-8-1-4-0-0-3,49.94,59.00,71.31,77.00,79.26
case318,case1-60-1-1-1-8-1-4-1-0-3,60.78,67.55,77.42,82.32,84.87
case319,case1-60-1-1-1-8-1-8-0-0-3,56.68,64.20,75.15,80.21,82.27
case320,case1-60-1-1-1-8-1-8-1-0-3,66.01,71.52,80.23,84.45,86.67
case321,case1-60-1-1-1-8-1-12-0-0-3,61.30,67.67,77.58,82.17,84.24
case322,case1-60-1-1-1-8-1-12-1-0-3,69.39,74.33,81.92,85.77,87.83
case323,case1-60-1-1-2-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case324,case1-60-1-1-2-2-1-0-0-0-0,6.20,1.11,1.25,1.57,1.69
case325,case1-60-1-1-2-2-1-0-1-0-0,88.63,88.69,87.78,78.63,79.00
case326,case1-60-1-1-2-2-1-4-0-0-3,86.56,79.71,79.85,78.76,74.98
case327,case1-60-1-1-2-2-1-4-1-0-3,93.51,94.30,94.28,94.34,94.01
case328,case1-60-1-1-2-2-1-8-0-0-3,89.18,82.86,82.83,82.91,80.67
case329,case1-60-1-1-2-2-1-8-1-0-3,94.68,95.22,95.30,95.47,95.47
case330,case1-60-1-1-2-2-1-12-0-0-3,89.36,91.09,90.36,90.33,90.02
case331,case1-60-1-1-2-2-1-12-1-0-3,95.85,96.28,96.47,96.68,96.69
case332,case1-60-1-1-2-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case333,case1-60-1-1-2-8-1-0-0-0-0,0.55,0.16,-0.37,-0.24,0.16
case334,case1-60-1-1-2-8-1-0-1-0-0,72.11,60.88,57.97,57.35,57.84
case335,case1-60-1-1-2-8-1-4-0-0-3,52.63,55.01,48.77,43.47,38.83
case336,case1-60-1-1-2-8-1-4-1-0-3,81.65,76.71,75.80,74.46,72.67
case337,case1-60-1-1-2-8-1-8-0-0-3,58.02,60.00,54.63,49.31,44.32
case338,case1-60-1-1-2-8-1-8-1-0-3,83.41,79.51,78.55,76.18,73.80
case339,case1-60-1-1-2-8-1-12-0-0-3,67.16,68.36,68.98,65.11,59.35
case340,case1-60-1-1-2-8-1-12-1-0-3,85.57,83.76,82.94,83.42,80.69
case341,case2-30-0-0-1-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case342,case2-30-0-0-1-2-0-0-1-0-0,38.55,35.91,39.21,44.06,50.29
case343,case2-30-0-0-1-2-0-4-0-0-4,46.81,48.22,50.39,48.28,36.98
case344,case2-30-0-0-1-2-0-4-1-0-4,64.43,63.14,65.16,68.09,70.07
case345,case2-30-0-0-1-2-0-8-0-0-4,52.31,50.38,52.81,57.67,65.86
case346,case2-30-0-0-1-2-0-8-1-0-4,69.61,67.52,69.98,73.56,80.54
case347,case2-30-0-0-1-2-0-12-0-0-4,61.49,61.02,63.27,68.51,77.42
case348,case2-30-0-0-1-2-0-12-1-0-4,75.18,73.79,75.30,78.21,83.84
case349,case2-30-0-0-1-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case350,case2-30-0-0-1-8-0-0-1-0-0,24.40,27.33,30.32,31.64,34.11
case351,case2-30-0-0-1-8-0-4-0-0-4,26.85,25.21,22.73,21.34,18.07
case352,case2-30-0-0-1-8-0-4-1-0-4,40.64,43.37,45.04,45.52,47.66
case353,case2-30-0-0-1-8-0-8-0-0-4,30.34,27.42,24.90,22.12,25.01
case354,case2-30-0-0-1-8-0-8-1-0-4,44.27,46.59,48.09,47.57,51.42
case355,case2-30-0-0-1-8-0-12-0-0-4,40.22,36.83,35.05,31.70,34.42
case356,case2-30-0-0-1-8-0-12-1-0-4,49.98,51.36,53.62,52.88,56.75
case357,case2-30-0-0-2-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case358,case2-30-0-0-2-2-0-0-1-0-0,65.13,65.42,64.88,62.73,57.21
case359,case2-30-0-0-2-2-0-4-0-0-4,59.58,61.67,59.34,52.60,39.13
case360,case2-30-0-0-2-2-0-4-1-0-4,81.63,80.95,79.22,74.96,71.11
case361,case2-30-0-0-2-2-0-8-0-0-4,70.50,73.41,75.33,75.93,74.53
case362,case2-30-0-0-2-2-0-8-1-0-4,85.54,85.10,84.92,83.40,82.08
case363,case2-30-0-0-2-2-0-12-0-0-4,78.71,79.43,78.39,74.65,71.60
case364,case2-30-0-0-2-2-0-12-1-0-4,87.97,87.18,85.29,82.70,81.43
case365,case2-30-0-0-2-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case366,case2-30-0-0-2-8-0-0-1-0-0,61.37,60.28,59.49,57.57,53.92
case367,case2-30-0-0-2-8-0-4-0-0-4,45.79,43.97,42.58,40.37,37.76
case368,case2-30-0-0-2-8-0-4-1-0-4,73.02,71.94,70.71,69.17,66.48
case369,case2-30-0-0-2-8-0-8-0-0-4,54.20,49.83,46.80,44.32,42.61
case370,case2-30-0-0-2-8-0-8-1-0-4,75.58,74.55,74.02,72.25,70.25
case371,case2-30-0-0-2-8-0-12-0-0-4,65.74,64.86,60.74,57.36,54.83
case372,case2-30-0-0-2-8-0-12-1-0-4,79.94,78.68,78.59,76.80,74.56
case373,case2-30-0-0-3-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case374,case2-30-0-0-3-2-0-0-1-0-0,30.50,34.12,34.82,29.31,22.51
case375,case2-30-0-0-3-2-0-4-0-0-4,43.70,55.28,67.57,72.51,76.06
case376,case2-30-0-0-3-2-0-4-1-0-4,57.81,66.96,74.08,76.98,79.36
case377,case2-30-0-0-3-2-0-8-0-0-4,44.62,55.52,67.72,72.67,76.28
case378,case2-30-0-0-3-2-0-8-1-0-4,57.96,67.01,74.19,77.09,79.58
case379,case2-30-0-0-3-2-0-12-0-0-4,50.72,60.48,71.35,75.86,79.15
case380,case2-30-0-0-3-2-0-12-1-0-4,61.93,71.03,77.38,79.65,81.81
case381,case2-30-0-0-3-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case382,case2-30-0-0-3-8-0-0-1-0-0,-2.57,52.54,45.87,36.61,20.93
case383,case2-30-0-0-3-8-0-4-0-0-4,-5.52,23.60,40.91,51.70,48.73
case384,case2-30-0-0-3-8-0-4-1-0-4,7.20,59.76,60.83,62.75,58.67
case385,case2-30-0-0-3-8-0-8-0-0-4,-9.45,25.85,42.92,51.73,49.09
case386,case2-30-0-0-3-8-0-8-1-0-4,8.71,58.03,59.91,62.51,58.69
case387,case2-30-0-0-3-8-0-12-0-0-4,-48.17,6.62,38.16,55.07,55.19
case388,case2-30-0-0-3-8-0-12-1-0-4,13.85,60.58,62.57,64.82,62.52
case389,case2-30-0-1-1-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case390,case2-30-0-1-1-2-1-0-0-0-0,5.89,8.89,8.32,2.14,-8.52
case391,case2-30-0-1-1-2-1-0-1-0-0,46.25,42.72,44.76,45.36,45.98
case392,case2-30-0-1-1-2-1-4-0-0-4,50.72,53.65,54.84,49.31,31.21
case393,case2-30-0-1-1-2-1-4-1-0-4,69.10,67.28,68.64,68.81,67.49
case394,case2-30-0-1-1-2-1-8-0-0-4,54.00,56.09,57.10,58.60,62.79
case395,case2-30-0-1-1-2-1-8-1-0-4,73.17,71.60,72.64,74.17,78.85
case396,case2-30-0-1-1-2-1-12-0-0-4,63.78,65.82,66.59,69.24,75.44
case397,case2-30-0-1-1-2-1-12-1-0-4,77.53,77.05,77.39,78.76,82.48
case398,case2-30-0-1-1-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case399,case2-30-0-1-1-8-1-0-0-0-0,4.49,12.80,27.38,25.47,4.69
case400,case2-30-0-1-1-8-1-0-1-0-0,29.14,37.13,49.33,48.95,37.01
case401,case2-30-0-1-1-8-1-4-0-0-4,28.82,34.52,43.85,41.45,22.01
case402,case2-30-0-1-1-8-1-4-1-0-4,43.56,50.55,60.30,59.37,50.03
case403,case2-30-0-1-1-8-1-8-0-0-4,34.14,37.15,45.30,42.12,28.39
case404,case2-30-0-1-1-8-1-8-1-0-4,46.96,53.38,62.38,60.90,53.50
case405,case2-30-0-1-1-8-1-12-0-0-4,41.98,45.00,52.84,49.19,37.41
case406,case2-30-0-1-1-8-1-12-1-0-4,52.72,57.51,66.45,65.02,58.62
case407,case2-30-0-1-2-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case408,case2-30-0-1-2-2-1-0-0-0-0,-0.28,-0.01,0.20,0.10,0.08
case409,case2-30-0-1-2-2-1-0-1-0-0,66.13,65.53,65.05,62.84,57.27
case410,case2-30-0-1-2-2-1-4-0-0-4,59.02,61.47,59.29,52.59,39.20
case411,case2-30-0-1-2-2-1-4-1-0-4,82.05,81.07,79.33,74.97,71.15
case412,case2-30-0-1-2-2-1-8-0-0-4,70.31,73.39,75.45,76.01,74.60
case413,case2-30-0-1-2-2-1-8-1-0-4,85.69,85.34,85.07,83.44,82.18
case414,case2-30-0-1-2-2-1-12-0-0-4,78.18,79.42,78.49,74.64,71.68
case415,case2-30-0-1-2-2-1-12-1-0-4,88.17,87.36,85.32,82.70,81.49
case416,case2-30-0-1-2-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case417,case2-30-0-1-2-8-1-0-0-0-0,0.34,-0.80,0.19,0.16,0.24
case418,case2-30-0-1-2-8-1-0-1-0-0,61.75,59.84,59.57,57.60,54.06
case419,case2-30-0-1-2-8-1-4-0-0-4,45.58,43.40,42.51,40.54,37.96
case420,case2-30-0-1-2-8-1-4-1-0-4,73.14,71.64,70.69,69.19,66.54
case421,case2-30-0-1-2-8-1-8-0-0-4,53.99,49.24,46.85,44.45,42.89
case422,case2-30-0-1-2-8-1-8-1-0-4,76.31,74.25,73.99,72.27,70.39
case423,case2-30-0-1-2-8-1-12-0-0-4,65.39,64.43,60.73,57.35,55.06
case424,case2-30-0-1-2-8-1-12-1-0-4,80.51,78.52,78.65,76.75,74.58
case425,case2-30-0-1-3-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case426,case2-30-0-1-3-2-1-0-0-0-0,-0.39,0.39,-0.03,0.39,0.38
case427,case2-30-0-1-3-2-1-0-1-0-0,31.16,34.60,35.03,29.12,22.52
case428,case2-30-0-1-3-2-1-4-0-0-4,45.84,55.73,67.82,72.53,76.21
case429,case2-30-0-1-3-2-1-4-1-0-4,55.86,67.63,74.38,77.10,79.48
case430,case2-30-0-1-3-2-1-8-0-0-4,45.48,56.02,67.95,72.77,76.36
case431,case2-30-0-1-3-2-1-8-1-0-4,56.47,67.70,74.41,77.24,79.74
case432,case2-30-0-1-3-2-1-12-0-0-4,52.01,61.36,71.62,76.02,79.32
case433,case2-30-0-1-3-2-1-12-1-0-4,60.28,71.51,77.65,79.81,81.97
case434,case2-30-0-1-3-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case435,case2-30-0-1-3-8-1-0-0-0-0,-28.69,0.68,0.24,-0.10,0.45
case436,case2-30-0-1-3-8-1-0-1-0-0,-5.21,52.94,45.85,36.79,21.44
case437,case2-30-0-1-3-8-1-4-0-0-4,-22.54,23.54,40.36,51.81,48.96
case438,case2-30-0-1-3-8-1-4-1-0-4,0.29,60.73,60.56,62.86,58.80
case439,case2-30-0-1-3-8-1-8-0-0-4,-28.33,25.12,41.75,51.91,49.48
case440,case2-30-0-1-3-8-1-8-1-0-4,12.10,58.97,60.15,62.50,58.88
case441,case2-30-0-1-3-8-1-12-0-0-4,-50.05,6.37,37.62,54.91,55.48
case442,case2-30-0-1-3-8-1-12-1-0-4,18.23,61.69,62.66,64.92,62.72
case443,case2-30-1-0-1-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case444,case2-30-1-0-1-2-0-0-1-0-0,22.65,22.27,23.11,23.82,26.21
case445,case2-30-1-0-1-2-0-4-0-0-4,41.52,44.17,44.45,44.17,44.72
case446,case2-30-1-0-1-2-0-4-1-0-4,52.16,53.64,54.46,55.43,56.50
case447,case2-30-1-0-1-2-0-8-0-0-4,50.02,52.00,53.12,52.92,53.75
case448,case2-30-1-0-1-2-0-8-1-0-4,58.37,59.60,61.08,62.04,62.91
case449,case2-30-1-0-1-2-0-12-0-0-4,61.70,62.62,63.22,63.60,64.23
case450,case2-30-1-0-1-2-0-12-1-0-4,67.62,68.08,69.58,70.65,71.65
case451,case2-30-1-0-1-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case452,case2-30-1-0-1-8-0-0-1-0-0,14.75,24.72,32.08,38.65,43.90
case453,case2-30-1-0-1-8-0-4-0-0-4,18.12,23.93,24.32,24.15,20.97
case454,case2-30-1-0-1-8-0-4-1-0-4,29.52,38.24,46.82,51.93,55.44
case455,case2-30-1-0-1-8-0-8-0-0-4,23.16,29.54,32.53,35.28,34.35
case456,case2-30-1-0-1-8-0-8-1-0-4,33.58,41.60,49.98,54.98,58.91
case457,case2-30-1-0-1-8-0-12-0-0-4,30.89,37.03,40.69,40.32,40.11
case458,case2-30-1-0-1-8-0-12-1-0-4,39.65,46.93,54.86,59.40,62.39
case459,case2-30-1-0-2-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case460,case2-30-1-0-2-2-0-0-1-0-0,67.81,76.38,79.42,81.34,83.03
case461,case2-30-1-0-2-2-0-4-0-0-4,70.13,78.12,80.58,80.45,79.01
case462,case2-30-1-0-2-2-0-4-1-0-4,84.80,89.36,90.92,91.80,92.50
case463,case2-30-1-0-2-2-0-8-0-0-4,75.23,81.79,83.94,84.38,84.44
case464,case2-30-1-0-2-2-0-8-1-0-4,86.90,90.97,92.29,92.96,93.55
case465,case2-30-1-0-2-2-0-12-0-0-4,83.68,89.05,90.39,91.22,91.88
case466,case2-30-1-0-2-2-0-12-1-0-4,91.45,93.64,94.70,95.27,95.74
case467,case2-30-1-0-2-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case468,case2-30-1-0-2-8-0-0-1-0-0,63.80,68.94,68.02,67.66,67.52
case469,case2-30-1-0-2-8-0-4-0-0-4,47.65,51.34,49.38,48.53,47.30
case470,case2-30-1-0-2-8-0-4-1-0-4,73.70,79.26,80.86,81.10,80.59
case471,case2-30-1-0-2-8-0-8-0-0-4,51.73,57.52,53.91,52.15,50.64
case472,case2-30-1-0-2-8-0-8-1-0-4,75.64,80.60,82.31,82.53,81.52
case473,case2-30-1-0-2-8-0-12-0-0-4,62.68,70.93,69.06,65.95,62.79
case474,case2-30-1-0-2-8-0-12-1-0-4,79.70,83.83,85.60,86.34,85.85
case475,case2-30-1-1-1-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case476,case2-30-1-1-1-2-1-0-0-0-0,38.18,49.36,57.72,61.07,61.99
case477,case2-30-1-1-1-2-1-0-1-0-0,53.05,61.29,67.68,70.36,71.86
case478,case2-30-1-1-1-2-1-4-0-0-4,64.15,71.31,76.38,78.23,78.88
case479,case2-30-1-1-1-2-1-4-1-0-4,71.27,76.86,80.91,82.71,83.29
case480,case2-30-1-1-1-2-1-8-0-0-4,69.17,75.47,80.04,81.66,82.29
case481,case2-30-1-1-1-2-1-8-1-0-4,75.68,79.85,83.68,85.22,85.78
case482,case2-30-1-1-1-2-1-12-0-0-4,77.00,80.70,84.38,85.75,86.30
case483,case2-30-1-1-1-2-1-12-1-0-4,82.03,84.09,87.28,88.60,89.17
case484,case2-30-1-1-1-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case485,case2-30-1-1-1-8-1-0-0-0-0,19.65,48.16,56.89,54.79,49.16
case486,case2-30-1-1-1-8-1-0-1-0-0,30.82,60.84,70.48,72.20,71.36
case487,case2-30-1-1-1-8-1-4-0-0-4,34.60,60.41,67.30,65.65,59.86
case488,case2-30-1-1-1-8-1-4-1-0-4,42.50,68.01,76.94,78.21,77.30
case489,case2-30-1-1-1-8-1-8-0-0-4,38.43,63.33,70.77,70.69,66.51
case490,case2-30-1-1-1-8-1-8-1-0-4,45.95,69.67,78.29,79.62,79.03
case491,case2-30-1-1-1-8-1-12-0-0-4,43.69,67.07,74.32,72.98,69.33
case492,case2-30-1-1-1-8-1-12-1-0-4,51.04,72.33,80.33,81.65,80.83
case493,case2-30-1-1-2-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case494,case2-30-1-1-2-2-1-0-0-0-0,0.10,-0.16,-0.07,-0.28,-0.02
case495,case2-30-1-1-2-2-1-0-1-0-0,69.68,76.79,79.61,81.50,83.16
case496,case2-30-1-1-2-2-1-4-0-0-4,69.35,78.14,80.58,80.45,78.97
case497,case2-30-1-1-2-2-1-4-1-0-4,85.56,89.60,91.02,91.88,92.58
case498,case2-30-1-1-2-2-1-8-0-0-4,74.73,81.84,83.98,84.34,84.44
case499,case2-30-1-1-2-2-1-8-1-0-4,87.84,91.24,92.43,93.06,93.62
case500,case2-30-1-1-2-2-1-12-0-0-4,83.57,89.00,90.41,91.23,91.89
case501,case2-30-1-1-2-2-1-12-1-0-4,91.92,93.83,94.83,95.34,95.79
case502,case2-30-1-1-2-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case503,case2-30-1-1-2-8-1-0-0-0-0,-2.97,-0.70,-0.63,-0.67,-0.48
case504,case2-30-1-1-2-8-1-0-1-0-0,62.90,68.58,67.72,67.47,67.39
case505,case2-30-1-1-2-8-1-4-0-0-4,46.80,50.78,48.99,48.14,47.09
case506,case2-30-1-1-2-8-1-4-1-0-4,73.09,79.01,80.63,80.91,80.50
case507,case2-30-1-1-2-8-1-8-0-0-4,50.47,57.05,53.47,51.78,50.43
case508,case2-30-1-1-2-8-1-8-1-0-4,75.08,80.25,82.08,82.36,81.45
case509,case2-30-1-1-2-8-1-12-0-0-4,61.52,70.38,68.75,65.59,62.57
case510,case2-30-1-1-2-8-1-12-1-0-4,79.33,83.51,85.42,86.19,85.77
case511,case2-60-0-0-1-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case512,case2-60-0-0-1-2-0-0-1-0-0,32.11,29.41,32.21,38.54,39.43
case513,case2-60-0-0-1-2-0-4-0-0-4,32.75,36.06,38.79,40.34,30.97
case514,case2-60-0-0-1-2-0-4-1-0-4,51.90,54.15,55.37,59.23,60.35
case515,case2-60-0-0-1-2-0-8-0-0-4,39.87,44.24,46.62,57.52,65.87
case516,case2-60-0-0-1-2-0-8-1-0-4,57.11,60.02,61.65,69.52,75.56
case517,case2-60-0-0-1-2-0-12-0-0-4,49.52,53.64,54.93,64.15,71.82
case518,case2-60-0-0-1-2-0-12-1-0-4,61.87,65.68,67.48,73.65,78.36
case519,case2-60-0-0-1-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case520,case2-60-0-0-1-8-0-0-1-0-0,19.44,19.52,23.78,26.51,35.41
case521,case2-60-0-0-1-8-0-4-0-0-4,17.25,16.85,18.23,17.32,17.29
case522,case2-60-0-0-1-8-0-4-1-0-4,31.44,32.23,35.64,37.27,44.86
case523,case2-60-0-0-1-8-0-8-0-0-4,21.29,21.19,22.16,20.96,28.70
case524,case2-60-0-0-1-8-0-8-1-0-4,35.21,35.74,38.64,40.70,48.70
case525,case2-60-0-0-1-8-0-12-0-0-4,28.28,28.18,28.68,27.81,35.85
case526,case2-60-0-0-1-8-0-12-1-0-4,40.26,40.71,43.78,45.15,52.74
case527,case2-60-0-0-2-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case528,case2-60-0-0-2-2-0-0-1-0-0,78.09,78.70,76.72,68.76,60.18
case529,case2-60-0-0-2-2-0-4-0-0-4,77.59,77.74,72.21,57.36,31.18
case530,case2-60-0-0-2-2-0-4-1-0-4,85.72,86.56,83.19,77.79,71.46
case531,case2-60-0-0-2-2-0-8-0-0-4,80.57,80.89,80.66,78.37,72.27
case532,case2-60-0-0-2-2-0-8-1-0-4,87.51,88.90,87.63,84.65,81.42
case533,case2-60-0-0-2-2-0-12-0-0-4,85.71,85.47,81.65,75.97,70.45
case534,case2-60-0-0-2-2-0-12-1-0-4,89.19,89.86,87.68,84.61,81.34
case535,case2-60-0-0-2-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case536,case2-60-0-0-2-8-0-0-1-0-0,54.59,50.80,50.09,49.48,48.80
case537,case2-60-0-0-2-8-0-4-0-0-4,51.72,53.46,50.74,46.92,44.05
case538,case2-60-0-0-2-8-0-4-1-0-4,73.73,71.57,70.72,67.97,66.06
case539,case2-60-0-0-2-8-0-8-0-0-4,56.72,57.78,53.37,48.35,45.30
case540,case2-60-0-0-2-8-0-8-1-0-4,75.57,73.28,72.65,69.98,68.10
case541,case2-60-0-0-2-8-0-12-0-0-4,67.85,69.35,65.34,60.21,57.33
case542,case2-60-0-0-2-8-0-12-1-0-4,79.54,78.63,79.08,77.27,74.37
case543,case2-60-0-0-3-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case544,case2-60-0-0-3-2-0-0-1-0-0,17.17,26.53,36.58,35.75,37.11
case545,case2-60-0-0-3-2-0-4-0-0-4,42.87,49.63,60.95,65.63,72.25
case546,case2-60-0-0-3-2-0-4-1-0-4,49.16,58.09,68.83,71.76,76.48
case547,case2-60-0-0-3-2-0-8-0-0-4,43.58,50.10,61.29,66.03,72.76
case548,case2-60-0-0-3-2-0-8-1-0-4,48.68,58.32,69.00,72.40,77.19
case549,case2-60-0-0-3-2-0-12-0-0-4,48.76,55.74,65.77,69.59,75.40
case550,case2-60-0-0-3-2-0-12-1-0-4,53.02,62.46,72.53,74.83,79.18
case551,case2-60-0-0-3-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case552,case2-60-0-0-3-8-0-0-1-0-0,1.27,24.79,29.60,39.19,33.80
case553,case2-60-0-0-3-8-0-4-0-0-4,8.20,11.05,23.62,51.36,52.64
case554,case2-60-0-0-3-8-0-4-1-0-4,7.72,36.02,46.34,59.50,62.10
case555,case2-60-0-0-3-8-0-8-0-0-4,10.14,21.01,30.96,50.78,52.94
case556,case2-60-0-0-3-8-0-8-1-0-4,8.63,34.41,44.95,59.29,61.98
case557,case2-60-0-0-3-8-0-12-0-0-4,12.69,23.07,34.82,53.94,57.67
case558,case2-60-0-0-3-8-0-12-1-0-4,11.19,36.95,47.36,60.77,64.45
case559,case2-60-0-1-1-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case560,case2-60-0-1-1-2-1-0-0-0-0,27.50,26.69,25.34,12.17,4.15
case561,case2-60-0-1-1-2-1-0-1-0-0,53.66,49.05,49.56,46.48,42.34
case562,case2-60-0-1-1-2-1-4-0-0-4,51.37,53.54,54.66,47.70,33.67
case563,case2-60-0-1-1-2-1-4-1-0-4,67.53,67.28,66.97,64.39,62.19
case564,case2-60-0-1-1-2-1-8-0-0-4,57.48,59.07,60.27,63.02,67.37
case565,case2-60-0-1-1-2-1-8-1-0-4,71.17,70.99,71.92,73.42,76.78
case566,case2-60-0-1-1-2-1-12-0-0-4,63.96,65.71,66.58,68.73,73.16
case567,case2-60-0-1-1-2-1-12-1-0-4,74.58,75.15,76.02,77.13,79.38
case568,case2-60-0-1-1-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case569,case2-60-0-1-1-8-1-0-0-0-0,25.29,43.78,52.68,56.02,46.72
case570,case2-60-0-1-1-8-1-0-1-0-0,40.35,55.11,63.85,67.47,65.43
case571,case2-60-0-1-1-8-1-4-0-0-4,38.04,53.42,61.12,63.45,55.95
case572,case2-60-0-1-1-8-1-4-1-0-4,49.06,62.10,69.36,72.31,70.63
case573,case2-60-0-1-1-8-1-8-0-0-4,41.31,55.58,63.20,65.30,61.71
case574,case2-60-0-1-1-8-1-8-1-0-4,51.53,63.95,70.97,73.81,72.71
case575,case2-60-0-1-1-8-1-12-0-0-4,46.24,59.19,66.42,68.14,65.73
case576,case2-60-0-1-1-8-1-12-1-0-4,55.42,66.85,73.38,75.85,74.84
case577,case2-60-0-1-2-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case578,case2-60-0-1-2-2-1-0-0-0-0,1.51,0.48,0.60,0.52,0.49
case579,case2-60-0-1-2-2-1-0-1-0-0,80.16,79.52,77.19,69.30,61.05
case580,case2-60-0-1-2-2-1-4-0-0-4,78.11,78.12,72.40,57.56,31.42
case581,case2-60-0-1-2-2-1-4-1-0-4,86.67,86.87,83.35,77.84,71.52
case582,case2-60-0-1-2-2-1-8-0-0-4,81.09,81.21,80.97,78.46,72.36
case583,case2-60-0-1-2-2-1-8-1-0-4,88.58,89.30,87.79,84.76,81.48
case584,case2-60-0-1-2-2-1-12-0-0-4,85.96,85.78,81.80,76.09,70.51
case585,case2-60-0-1-2-2-1-12-1-0-4,89.94,90.06,87.84,84.70,81.43
case586,case2-60-0-1-2-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case587,case2-60-0-1-2-8-1-0-0-0-0,-0.17,-0.33,-0.32,0.24,0.18
case588,case2-60-0-1-2-8-1-0-1-0-0,55.88,51.08,50.03,49.65,48.90
case589,case2-60-0-1-2-8-1-4-0-0-4,51.46,53.05,50.50,46.92,44.25
case590,case2-60-0-1-2-8-1-4-1-0-4,75.11,71.86,70.80,68.23,66.21
case591,case2-60-0-1-2-8-1-8-0-0-4,56.07,57.59,53.30,48.50,45.35
case592,case2-60-0-1-2-8-1-8-1-0-4,76.89,73.44,72.77,70.17,68.24
case593,case2-60-0-1-2-8-1-12-0-0-4,67.06,69.02,65.17,60.26,57.41
case594,case2-60-0-1-2-8-1-12-1-0-4,80.79,78.94,79.18,77.50,74.42
case595,case2-60-0-1-3-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case596,case2-60-0-1-3-2-1-0-0-0-0,1.52,0.63,1.14,-0.15,0.49
case597,case2-60-0-1-3-2-1-0-1-0-0,18.74,27.86,37.77,35.31,37.48
case598,case2-60-0-1-3-2-1-4-0-0-4,41.91,50.13,61.63,65.73,72.46
case599,case2-60-0-1-3-2-1-4-1-0-4,48.05,59.03,69.49,71.88,76.74
case600,case2-60-0-1-3-2-1-8-0-0-4,42.34,50.45,61.95,66.27,72.95
