,Å´ÉPÅ[ÉXñºÇì¸óÕ,å¯â uÅÉ1,å¯â 1ÅÖuÅÉ2,å¯â 2ÅÖuÅÉ3,å¯â 3ÅÖuÅÉ10,å¯â uÅÑ10
case792,case1-45-1-1-1-1-1-8-1-0-6.png,41.4,42.4,42.3,43.1,45.3
case793,case1-45-1-1-1-1-1-12-0-0-3.png,32.2,36.9,36.3,36.8,38.9
case794,case1-45-1-1-1-1-1-12-0-0-6.png,49.6,51,51.2,51.6,54
case795,case1-45-1-1-1-1-1-12-1-0-6.png,0,0,0,0,0
case796,case1-45-1-1-1-4-0-0-0-0-0.png,55.9,60.7,55.6,60.4,36.7
case797,case1-45-1-1-1-4-1-0-0-0-0.png,20.4,28.6,29.1,27.1,16.9
case798,case1-45-1-1-1-4-1-0-1-0-0.png,62,67,61.7,65.2,64.2
case799,case1-45-1-1-1-4-1-4-0-0-3.png,44,47.3,45.3,53.4,51.4
case800,case1-45-1-1-1-4-1-4-0-0-6.png,68.4,75.4,72.6,75.4,76.4
case801,case1-45-1-1-1-4-1-4-1-0-3.png,51.4,65.5,71,74.9,76.3
case802,case1-45-1-1-1-4-1-4-1-0-6.png,64.6,74.2,78.7,81.7,83.7
case803,case1-45-1-1-1-4-1-8-0-0-3.png,61.3,73.3,77.9,80.7,82.5
case804,case1-45-1-1-1-4-1-8-0-0-6.png,71.5,80.1,83.3,85.6,87.2
case805,case1-45-1-1-1-4-1-8-1-0-3.png,66.8,77.3,81.2,83.7,85.2
case806,case1-45-1-1-1-4-1-8-1-0-6.png,75.3,82.5,85.7,87.8,89
case807,case1-45-1-1-1-4-1-12-0-0-3.png,69.3,67.7,65.5,65.2,63.6
case808,case1-45-1-1-1-4-1-12-0-0-6.png,87.8,87.6,85.9,86.6,76.7
case809,case1-45-1-1-1-4-1-12-1-0-3.png,77.5,76.6,76.1,74.5,68.9
case810,case1-45-1-1-1-4-1-12-1-0-6.png,89.7,89.5,87.8,87.8,86
case811,case1-45-1-1-1-10-0-0-0-0-0.png,83.1,82.6,81.7,83.8,82
case812,case1-45-1-1-1-10-1-0-0-0-0.png,91,92,91.1,91.7,91.3
case813,case1-45-1-1-1-10-1-0-1-0-0.png,0,0,0,0,0
case814,case1-45-1-1-1-10-1-4-0-0-3.png,17.9,25.4,24.8,27.8,30.5
case815,case1-45-1-1-1-10-1-4-0-0-6.png,15.7,21.9,16.7,15.7,16
case816,case1-45-1-1-1-10-1-4-1-0-3.png,29.7,37.4,36.4,38.5,41.4
case817,case1-45-1-1-1-10-1-4-1-0-6.png,30.3,32.4,30.4,29.2,28
case818,case1-45-1-1-1-10-1-8-0-0-3.png,40.3,45.8,45.7,47.3,50.6
case819,case1-45-1-1-1-10-1-8-0-0-6.png,35.8,39.6,38.1,37.3,35.7
case820,case1-45-1-1-1-10-1-8-1-0-3.png,44.4,50.4,51,52.8,55.9
case821,case1-45-1-1-1-10-1-8-1-0-6.png,0,0,0,0,0
case822,case1-45-1-1-1-10-1-12-0-0-3.png,57.2,47.4,48.8,52.3,42.9
case823,case1-45-1-1-1-10-1-12-0-0-6.png,48.2,45.4,44.6,45.3,40.9
case824,case1-45-1-1-1-10-1-12-1-0-3.png,72.7,64.1,60.9,61.3,58.8
case825,case1-45-1-1-1-10-1-12-1-0-6.png,54.3,55.7,52.2,50.4,44.1
case826,case1-45-1-1-2-1-0-0-0-0-0.png,75.7,71.1,66,66,62.3
case827,case1-45-1-1-2-1-1-0-0-0-0.png,64.1,67.6,63.6,59.8,54.4
case828,case1-45-1-1-2-1-1-0-1-0-0.png,80,82.2,79.9,77.6,69.5
case829,case1-45-1-1-2-1-1-4-0-0-3.png,0,0,0,0,0
case830,case1-45-1-1-2-1-1-4-0-0-6.png,22.7,37,48.5,55.9,57.1
case831,case1-45-1-1-2-1-1-4-1-0-3.png,36.7,51.4,61,67.9,70.1
case832,case1-45-1-1-2-1-1-4-1-0-6.png,33.5,48.5,56.9,62.7,63.9
case833,case1-45-1-1-2-1-1-8-0-0-3.png,45.3,59,66.7,72.6,74.7
case834,case1-45-1-1-2-1-1-8-0-0-6.png,43.3,55.5,63.8,68.5,68.9
case835,case1-45-1-1-2-1-1-8-1-0-3.png,51.5,64.9,71.2,76.3,78.5
case836,case1-45-1-1-2-1-1-8-1-0-6.png,48.5,60.5,67.8,72,72.2
case837,case1-45-1-1-2-1-1-12-0-0-3.png,57.5,67.9,74.1,78.6,80.8
case838,case1-45-1-1-2-1-1-12-0-0-6.png,0,0,0,0,0
case839,case1-45-1-1-2-1-1-12-1-0-3.png,-5.2,-5.7,-2,0.9,1.6
case840,case1-45-1-1-2-1-1-12-1-0-6.png,54.7,45.2,47.7,52.2,43.4
case841,case1-45-1-1-2-4-0-0-0-0-0.png,42.4,42.5,42.3,44.6,41.3
case842,case1-45-1-1-2-4-1-0-0-0-0.png,70.9,62,59.6,61.4,59.2
case843,case1-45-1-1-2-4-1-0-1-0-0.png,49.8,53.2,50.8,50.6,45.2
case844,case1-45-1-1-2-4-1-4-0-0-3.png,74.4,69.2,65.1,65.8,63.1
case845,case1-45-1-1-2-4-1-4-0-0-6.png,60.7,65.8,62.4,60.1,54.9
case846,case1-45-1-1-2-4-1-4-1-0-3.png,79.1,81.6,79.4,77.5,69.8
case847,case1-45-1-1-2-4-1-4-1-0-6.png,15.2,19.8,16.4,15.7,16
case848,case1-45-1-1-2-4-1-8-0-0-3.png,30.4,37.1,36.1,38.5,41.6
case849,case1-45-1-1-2-4-1-8-0-0-6.png,28.5,31.5,30.1,29.2,28
case850,case1-45-1-1-2-4-1-8-1-0-3.png,38,45.6,45.8,47,50.5
case851,case1-45-1-1-2-4-1-8-1-0-6.png,35.1,39.1,37.8,37.4,35.5
case852,case1-45-1-1-2-4-1-12-0-0-3.png,44.7,50.5,50.6,52.5,55.8
case853,case1-45-1-1-2-4-1-12-0-0-6.png,48.2,47.3,45.2,44.9,40.9
case854,case1-45-1-1-2-4-1-12-1-0-3.png,72.2,64.2,60.7,61.4,58.7
case855,case1-45-1-1-2-4-1-12-1-0-6.png,53.5,55.6,52.8,50.3,44.3
case856,case1-45-1-1-2-10-0-0-0-0-0.png,75.6,70.7,66.1,65.7,62.6
case857,case1-45-1-1-2-10-1-0-0-0-0.png,64,67.1,63.7,60,54.3
case858,case1-45-1-1-2-10-1-0-1-0-0.png,79.3,81.9,79.9,77.5,69.4
case859,case1-45-1-1-2-10-1-4-0-0-3.png,34,49.1,56.9,62.7,63.9
case860,case1-45-1-1-2-10-1-4-0-0-6.png,45,58.1,66.9,72.5,74.6
case861,case1-45-1-1-2-10-1-4-1-0-3.png,44.6,55.6,63.6,68.5,68.9
case862,case1-45-1-1-2-10-1-4-1-0-6.png,52.3,64.5,71.3,76.3,78.5
case863,case1-45-1-1-2-10-1-8-0-0-3.png,49.1,61.5,67.5,72.1,72.2
case864,case1-45-1-1-2-10-1-8-0-0-6.png,56.2,67.9,74,78.6,80.8
case865,case1-45-1-1-2-10-1-8-1-0-3.png,42.8,42.9,41.9,44.8,41.5
case866,case1-45-1-1-2-10-1-8-1-0-6.png,71,62.2,59.5,61.5,59.2
case867,case1-45-1-1-2-10-1-12-0-0-3.png,48.8,51.5,50.1,50.1,44.8
case868,case1-45-1-1-2-10-1-12-0-0-6.png,74.3,69.2,65.1,65.6,63.1
case869,case1-45-1-1-2-10-1-12-1-0-3.png,61.7,64.6,62.1,59.8,54.4
case870,case1-45-1-1-2-10-1-12-1-0-6.png,78.7,80.6,79.2,77.4,69.8
case871,case1-60-0-0-1-1-0-0-0-0-0.png,0,0,0,0,0
case872,case1-60-0-0-1-1-0-0-1-0-0.png,24.3,50.3,32.5,6.1,15.5
case873,case1-60-0-0-1-1-0-4-0-0-3.png,27.1,61,52.5,39.1,39.8
case874,case1-60-0-0-1-1-0-4-0-0-6.png,40.8,65.9,62.3,52,53.3
case875,case1-60-0-0-1-1-0-4-1-0-3.png,51.7,54.3,49.7,46.5,57.9
case876,case1-60-0-0-1-1-0-4-1-0-6.png,66.7,78.2,79.5,78.3,82
case877,case1-60-0-0-1-1-0-8-0-0-3.png,56.8,76.9,73.5,68.4,75.6
case878,case1-60-0-0-1-1-0-8-0-0-6.png,66,80.9,82.6,81.7,85.1
case879,case1-60-0-0-1-1-0-8-1-0-3.png,0,0,0,0,0
case880,case1-60-0-0-1-1-0-8-1-0-6.png,87,82.8,75.7,63.3,47.5
case881,case1-60-0-0-1-1-0-12-0-0-3.png,79.3,84.9,85.4,76.5,54.6
case882,case1-60-0-0-1-1-0-12-0-0-6.png,87.8,87.5,86.3,80.5,71
case883,case1-60-0-0-1-1-0-12-1-0-3.png,79.2,84.8,87.4,87.6,85.3
case884,case1-60-0-0-1-1-0-12-1-0-6.png,92,92.2,92.7,91.4,88.5
case885,case1-60-0-0-1-4-0-0-0-0-0.png,84,89.5,91,88.5,85.4
case886,case1-60-0-0-1-4-0-0-1-0-0.png,90.7,92.1,92.2,90.5,88.2
case887,case1-60-0-0-1-4-0-4-0-0-3.png,0,0,0,0,0
case888,case1-60-0-0-1-4-0-4-0-0-6.png,25.1,24.6,33.3,47.9,36
case889,case1-60-0-0-1-4-0-4-1-0-3.png,56.5,62,70.5,81.7,83.6
case890,case1-60-0-0-1-4-0-4-1-0-6.png,58.3,70.3,81.9,89.5,90.4
case891,case1-60-0-0-1-4-0-8-0-0-3.png,56,63.6,71.3,82.1,83.9
case892,case1-60-0-0-1-4-0-8-0-0-6.png,58.7,70.7,82.4,89.6,90.4
case893,case1-60-0-0-1-4-0-8-1-0-3.png,42.3,54.5,67.4,81,84.4
case894,case1-60-0-0-1-4-0-8-1-0-6.png,25.1,24.6,33.3,47.9,36
case895,case1-60-0-0-1-4-0-12-0-0-3.png,0,0,0,0,0
case896,case1-60-0-0-1-4-0-12-0-0-6.png,26.2,41.2,44.5,35.3,28.8
case897,case1-60-0-0-1-4-0-12-1-0-3.png,41.5,67.6,58,44.7,41.9
case898,case1-60-0-0-1-4-0-12-1-0-6.png,45.6,71.8,69.6,62.4,57.2
case899,case1-60-0-0-1-10-0-0-0-0-0.png,51.1,76.1,77.1,69.8,64.9
case900,case1-60-0-0-1-10-0-0-1-0-0.png,63.5,71.6,71,68.3,70.3
case901,case1-60-0-0-1-10-0-4-0-0-3.png,70.9,85.9,88.1,87.8,87.3
case902,case1-60-0-0-1-10-0-4-0-0-6.png,66.3,83.6,85.1,82.7,83
case903,case1-60-0-0-1-10-0-4-1-0-3.png,73.9,87.1,89.1,89,89.7
case904,case1-60-0-0-1-10-0-4-1-0-6.png,0,0,0,0,0
case905,case1-60-0-0-1-10-0-8-0-0-3.png,8.3,9.4,6.2,4.9,4.6
case906,case1-60-0-0-1-10-0-8-0-0-6.png,86.2,84.1,77.9,68,53
case907,case1-60-0-0-1-10-0-8-1-0-3.png,81.6,86.7,85.5,76.5,57.5
case908,case1-60-0-0-1-10-0-8-1-0-6.png,89.2,89,88.1,83.4,72.9
case909,case1-60-0-0-1-10-0-12-0-0-3.png,81.5,86.5,87.7,88.5,86.5
case910,case1-60-0-0-1-10-0-12-0-0-6.png,91.8,92.8,93.4,92.5,89.5
case911,case1-60-0-0-1-10-0-12-1-0-3.png,84.9,90.6,91.9,89.1,86.4
case912,case1-60-0-0-1-10-0-12-1-0-6.png,91.9,93.1,93,91.5,88.7
case913,case1-60-0-0-2-1-0-0-0-0-0.png,0,0,0,0,0
case914,case1-60-0-0-2-1-0-0-1-0-0.png,2.3,3.8,15.5,-5.4,-5.1
case915,case1-60-0-0-2-1-0-4-0-0-3.png,21.1,31.3,50.5,39.5,39
case916,case1-60-0-0-2-1-0-4-0-0-6.png,53.4,62.8,75,81,82.9
case917,case1-60-0-0-2-1-0-4-1-0-3.png,56.3,70.9,84.2,89.1,90.2
case918,case1-60-0-0-2-1-0-4-1-0-6.png,54.5,63.5,75.3,81.3,83.1
case919,case1-60-0-0-2-1-0-8-0-0-3.png,53.6,72.1,84.3,89.2,90.1
case920,case1-60-0-0-2-1-0-8-0-0-6.png,41.6,53.8,72.1,80,83.7
case921,case1-60-0-0-2-1-0-8-1-0-3.png,50,61.9,80.1,86.2,88.7
case922,case1-60-0-0-2-1-0-8-1-0-6.png,27.7,62.4,52.6,47.4,55.7
case923,case1-60-0-0-2-1-0-12-0-0-3.png,42.4,68.6,64.6,58.4,65.4
case924,case1-60-0-0-2-1-0-12-0-0-6.png,52.7,56.8,52.9,52.2,63.9
case925,case1-60-0-0-2-1-0-12-1-0-3.png,65.8,79,80.4,79.9,83.6
case926,case1-60-0-0-2-1-0-12-1-0-6.png,56.8,77.3,75.2,71.3,78
case927,case1-60-0-0-2-4-0-0-0-0-0.png,66.1,81.3,83.2,82.6,85.8
case928,case1-60-0-0-2-4-0-0-1-0-0.png,80.6,85.6,85.9,79.3,71.3
case929,case1-60-0-0-2-4-0-4-0-0-3.png,87.7,87.8,87.9,83.5,77.8
case930,case1-60-0-0-2-4-0-4-0-0-6.png,80.5,85.2,88,87.6,87.2
case931,case1-60-0-0-2-4-0-4-1-0-3.png,91,92,92.9,91.5,89.6
case932,case1-60-0-0-2-4-0-4-1-0-6.png,84.5,90.3,91.8,89.5,87.2
case933,case1-60-0-0-2-4-0-8-0-0-3.png,90.2,91.9,92.6,91,88.6
case934,case1-60-0-0-2-4-0-8-0-0-6.png,87.9,90.8,92.4,91.4,89.4
case935,case1-60-0-0-2-4-0-8-1-0-3.png,88.8,92.8,95.2,95,93.7
case936,case1-60-0-0-2-4-0-8-1-0-6.png,88.1,91.3,92.6,91.7,89.8
case937,case1-60-0-0-2-4-0-12-0-0-3.png,60.9,71.5,82.2,89.8,91.2
case938,case1-60-0-0-2-4-0-12-0-0-6.png,44.1,55.7,68.5,81.9,85.4
case939,case1-60-0-0-2-4-0-12-1-0-3.png,54.7,63.9,76.2,87.1,89.7
case940,case1-60-0-0-2-4-0-12-1-0-6.png,47,73.1,71.7,66.7,66
case941,case1-60-0-0-2-10-0-0-0-0-0.png,53.4,77.1,78.9,73.7,73.6
case942,case1-60-0-0-2-10-0-0-1-0-0.png,64.2,71.7,71.5,71.6,74.3
case943,case1-60-0-0-2-10-0-4-0-0-3.png,72.4,86.8,88.8,88.5,88.7
case944,case1-60-0-0-2-10-0-4-0-0-6.png,67.5,84.1,85.8,83.4,84.5
case945,case1-60-0-0-2-10-0-4-1-0-3.png,72.7,87.6,89.6,89.6,90.3
case946,case1-60-0-0-2-10-0-4-1-0-6.png,82,87.7,86.2,80.6,72.7
case947,case1-60-0-0-2-10-0-8-0-0-3.png,89.2,89.6,89.3,84.5,79.2
case948,case1-60-0-0-2-10-0-8-0-0-6.png,81.3,87,88.3,88.4,87.8
case949,case1-60-0-0-2-10-0-8-1-0-3.png,92.2,92.9,93.4,92.1,90
case950,case1-60-0-0-2-10-0-8-1-0-6.png,85.2,91.3,92.2,90,87.6
case951,case1-60-0-0-2-10-0-12-0-0-3.png,92.1,93.3,93.2,91.9,89.2
case952,case1-60-0-0-2-10-0-12-0-0-6.png,87.9,91.6,92.6,91.9,89.9
case953,case1-60-0-0-2-10-0-12-1-0-3.png,87.9,93.2,95.3,95.3,94
case954,case1-60-0-0-2-10-0-12-1-0-6.png,87.7,91.9,92.8,92.1,90.3
case955,case1-60-0-0-3-1-0-0-0-0-0.png,87.8,93.5,95.4,95.3,94
case956,case1-60-0-0-3-1-0-0-1-0-0.png,84.1,89.8,91.9,91.7,90.5
case957,case1-60-0-0-3-1-0-0-1-0-3.png,86,91.6,94,94.1,93.3
case958,case1-60-0-0-3-1-0-4-0-0-3.png,0,0,0,0,0
case959,case1-60-0-0-3-1-0-4-0-0-6.png,40.7,32.6,33.9,29.6,24.5
case960,case1-60-0-0-3-1-0-4-1-0-3.png,31.4,30.9,31.5,30,24.3
case961,case1-60-0-0-3-1-0-4-1-0-6.png,56,50.1,51.6,49.5,43.8
case962,case1-60-0-0-3-1-0-8-0-0-3.png,27.4,30.2,30.6,30.2,44.3
case963,case1-60-0-0-3-1-0-8-0-0-6.png,58.9,51.2,53.3,55.3,65.1
case964,case1-60-0-0-3-1-0-8-1-0-3.png,39,39.7,40.6,41,53.4
case965,case1-60-0-0-3-1-0-8-1-0-6.png,64.1,56.7,58.5,60.3,69.6
case966,case1-60-0-0-3-1-0-12-0-0-3.png,0,0,0,0,0
case967,case1-60-0-0-3-1-0-12-0-0-6.png,53.7,41.9,42.8,44.6,49.6
case968,case1-60-0-0-3-1-0-12-1-0-6.png,61,62.5,63.2,59.5,51.9
case969,case1-60-0-0-3-4-0-0-0-0-0.png,76.3,79.2,79,77.1,74.6
case970,case1-60-0-0-3-4-0-0-1-0-0.png,65.6,66.4,68.6,62.4,56.4
case971,case1-60-0-0-3-4-0-4-0-0-3.png,79,80.2,78.8,76.3,73.9
case972,case1-60-0-0-3-4-0-4-0-0-6.png,71.4,78.3,79.4,76.5,71.4
case973,case1-60-0-0-3-4-0-4-1-0-3.png,83.2,84.1,84.7,85.7,86.5
case974,case1-60-0-0-3-4-0-4-1-0-6.png,0,0,0,0,0
case975,case1-60-0-0-3-4-0-8-0-0-3.png,17,23.3,33.3,51.5,37.5
case976,case1-60-0-0-3-4-0-8-0-0-6.png,26.7,38.5,49.4,54,68.3
case977,case1-60-0-0-3-4-0-8-1-0-3.png,37.9,49.4,61.8,77.8,81.8
case978,case1-60-0-0-3-4-0-8-1-0-6.png,30.6,37.5,49.4,54.5,69.1
case979,case1-60-0-0-3-4-0-12-0-0-3.png,39.1,49.2,61.8,77.9,81.9
case980,case1-60-0-0-3-4-0-12-0-0-6.png,20.1,27,41.9,67,73.5
case981,case1-60-0-0-3-4-0-12-1-0-3.png,30.3,40.6,54.5,74.2,79.9
case982,case1-60-0-0-3-4-0-12-1-0-6.png,0,0,0,0,0
case983,case1-60-0-0-3-10-0-0-0-0-0.png,28.4,39.6,45.4,48.3,30.5
case984,case1-60-0-0-3-10-0-0-1-0-0.png,59,60.6,64.9,64.1,47.3
case985,case1-60-0-0-3-10-0-4-0-0-3.png,50.5,57.5,62,63.7,47.1
case986,case1-60-0-0-3-10-0-4-0-0-6.png,69.5,70,73.8,73.9,60.4
case987,case1-60-0-0-3-10-0-4-1-0-3.png,48.8,56,61.1,63.8,60.5
case988,case1-60-0-0-3-10-0-4-1-0-6.png,70.8,70.4,74.8,77,75.8
case989,case1-60-0-0-3-10-0-8-0-0-3.png,56.8,62.6,67,69.2,67.3
case990,case1-60-0-0-3-10-0-8-0-0-6.png,73.9,73.8,77.3,79.4,78.7
case991,case1-60-0-0-3-10-0-8-1-0-3.png,0,0,0,0,0
case992,case1-60-0-0-3-10-0-8-1-0-6.png,0,2.1,2.6,1.5,0
case993,case1-60-0-0-3-10-0-12-0-0-3.png,57.8,43.7,45.7,46.3,50.3
case994,case1-60-0-0-3-10-0-12-0-0-6.png,60.6,62.7,64.8,59.9,52.6
case995,case1-60-0-0-3-10-0-12-1-0-3.png,79.1,80.6,80,78.1,74.7
case996,case1-60-0-0-3-10-0-12-1-0-6.png,66.5,67.6,69.6,64.2,56.8
case997,case1-60-0-1-1-1-0-0-0-0-0.png,81.6,81.5,80.1,76.9,74.6
case998,case1-60-0-1-1-1-1-0-0-0-0.png,71.7,78.6,79.6,77.5,71.7
case999,case1-60-0-1-1-1-1-0-1-0-0.png,84.4,85,85.7,86.3,87
case1000,case1-60-0-1-1-1-1-4-0-0-3.png,0,0,0,0,0
case1001,case1-60-0-1-1-1-1-4-0-0-6.png,6.8,-2.7,2.6,-6.7,-2.9
case1002,case1-60-0-1-1-1-1-4-1-0-3.png,19.1,20.3,36,47.2,35.5
case1003,case1-60-0-1-1-1-1-4-1-0-6.png,30.6,35.4,51,51.1,67.6
case1004,case1-60-0-1-1-1-1-8-0-0-3.png,37.3,47.4,62.8,76.1,80.9
case1005,case1-60-0-1-1-1-1-8-0-0-6.png,31.1,34,50.8,51.8,68.1
case1006,case1-60-0-1-1-1-1-8-1-0-3.png,37.4,46.5,62.5,76.2,81
case1007,case1-60-0-1-1-1-1-8-1-0-6.png,20.8,24.9,43.3,64.1,72.4
case1008,case1-60-0-1-1-1-1-12-0-0-3.png,30.8,37.7,55.2,72.3,78.7
case1009,case1-60-0-1-1-1-1-12-0-0-6.png,32,30.8,31.5,30.5,27.5
case1010,case1-60-0-1-1-1-1-12-1-0-3.png,56.5,49.4,51.5,49.5,44.6
case1011,case1-60-0-1-1-1-1-12-1-0-6.png,29.5,27.8,30.2,31.3,45.3
case1012,case1-60-0-1-1-4-0-0-0-0-0.png,59.1,51.4,53.1,55.2,65.8
case1013,case1-60-0-1-1-4-1-0-0-0-0.png,38.9,40.1,41.1,42.1,54.6
case1014,case1-60-0-1-1-4-1-0-1-0-0.png,64.1,56.6,58.3,60.3,70
case1015,case1-60-0-1-1-4-1-4-0-0-3.png,63,62.9,63.9,60,55.3
case1016,case1-60-0-1-1-4-1-4-0-0-6.png,76.5,78.9,79.1,77.5,75.9
case1017,case1-60-0-1-1-4-1-4-1-0-3.png,65.2,66.7,68.3,63.6,57.3
case1018,case1-60-0-1-1-4-1-4-1-0-6.png,79,80.2,79.1,76.4,74.5
case1019,case1-60-0-1-1-4-1-8-0-0-3.png,70.9,78.5,79.2,77.8,71.5
case1020,case1-60-0-1-1-4-1-8-0-0-6.png,83.2,84,84.7,85.6,86.8
case1021,case1-60-0-1-1-4-1-8-1-0-3.png,27.4,36.5,48.7,53.4,68.5
case1022,case1-60-0-1-1-4-1-8-1-0-6.png,37.1,49.2,60.8,77.4,81.6
case1023,case1-60-0-1-1-4-1-12-0-0-3.png,30.4,36.1,49,68.8,67.2
case1024,case1-60-0-1-1-4-1-12-0-0-6.png,37.9,48.5,61.1,77.5,82
case1025,case1-60-0-1-1-4-1-12-1-0-3.png,17.5,26,41.9,67.1,73.7
case1026,case1-60-0-1-1-4-1-12-1-0-6.png,31.7,40.2,54.3,74.2,80.1
case1027,case1-60-0-1-1-10-0-0-0-0-0.png,50.6,58.1,61.9,64,48.8
case1028,case1-60-0-1-1-10-1-0-0-0-0.png,69.2,70.1,73.7,74.1,61
case1029,case1-60-0-1-1-10-1-0-1-0-0.png,46.4,55.6,60.6,63.4,61.2
case1030,case1-60-0-1-1-10-1-4-0-0-3.png,70.8,70.7,74.7,77,76.1
case1031,case1-60-0-1-1-10-1-4-0-0-6.png,56,62.6,67.1,69.3,67.9
case1032,case1-60-0-1-1-10-1-4-1-0-3.png,74,73.6,77.3,79.4,78.9
case1033,case1-60-0-1-1-10-1-4-1-0-6.png,63.3,63.4,65,60.2,55.8
case1034,case1-60-0-1-1-10-1-8-0-0-3.png,79,80.6,80,78.3,76.1
case1035,case1-60-0-1-1-10-1-8-0-0-6.png,65.7,67.4,70.1,64,58.6
case1036,case1-60-0-1-1-10-1-8-1-0-3.png,81,81.6,80,77.1,74.9
case1037,case1-60-0-1-1-10-1-8-1-0-6.png,71.4,78.6,79.8,77.9,72
case1038,case1-60-0-1-1-10-1-12-0-0-3.png,84.6,85.1,85.6,86.3,87.1
case1039,case1-60-0-1-1-10-1-12-0-0-6.png,30.8,33.6,49.8,51,67.7
case1040,case1-60-0-1-1-10-1-12-1-0-3.png,36.1,45.9,62,75.7,80.8
case1041,case1-60-0-1-1-10-1-12-1-0-6.png,27.3,33.5,49.8,51.3,68.4
case1042,case1-60-0-1-2-1-0-0-0-0-0.png,37.7,45.2,61.7,75.9,80.9
case1043,case1-60-0-1-2-1-1-0-0-0-0.png,20.6,24.1,43.1,64.1,72.7
case1044,case1-60-0-1-2-1-1-0-1-0-0.png,29.7,37.7,55.6,72.4,79.2
case1045,case1-60-0-1-2-1-1-4-0-0-3.png,0,0,0,0,0
case1046,case1-60-0-1-2-1-1-4-0-0-6.png,16.7,21.5,23.7,26.4,31.1
case1047,case1-60-0-1-2-1-1-4-1-0-3.png,15.2,16.6,15.4,13.8,16.8
case1048,case1-60-0-1-2-1-1-4-1-0-6.png,27.8,32.5,34.7,35.6,40.6
case1049,case1-60-0-1-2-1-1-8-0-0-3.png,17,16.9,16.5,14.9,21.5
case1050,case1-60-0-1-2-1-1-8-0-0-6.png,31.6,32.6,36,33.7,39.8
case1051,case1-60-0-1-2-1-1-8-1-0-3.png,23.2,23.9,22.1,20.3,27.4
case1052,case1-60-0-1-2-1-1-8-1-0-6.png,35.9,38.6,40.1,38.4,44.1
case1053,case1-60-0-1-2-1-1-12-0-0-3.png,0,0,0,0,0
case1054,case1-60-0-1-2-1-1-12-0-0-6.png,47.6,31.9,38.7,37.4,35.2
case1055,case1-60-0-1-2-1-1-12-1-0-3.png,47.1,37.3,40.9,38.3,33.6
case1056,case1-60-0-1-2-1-1-12-1-0-6.png,66,56,57.3,55.5,50.4
case1057,case1-60-0-1-2-4-0-0-0-0-0.png,44,40.9,44.1,42.1,37.1
case1058,case1-60-0-1-2-4-1-0-0-0-0.png,67.3,63.3,54.9,52.3,50.9
case1059,case1-60-0-1-2-4-1-0-1-0-0.png,57.7,58.7,58.7,48.6,43.8
case1060,case1-60-0-1-2-4-1-4-0-0-3.png,71.6,72.8,70.8,68.6,62.9
case1061,case1-60-0-1-2-4-1-4-0-0-6.png,0,0,0,0,0
case1062,case1-60-0-1-2-4-1-4-1-0-3.png,67.2,75.2,70.8,60.2,51.7
case1063,case1-60-0-1-2-4-1-4-1-0-6.png,68.3,28.5,15.1,16.4,37.2
case1064,case1-60-0-1-2-4-1-8-0-0-3.png,70.1,79.9,77.4,70.9,71.5
case1065,case1-60-0-1-2-4-1-8-0-0-6.png,71.1,25.4,14.9,17,38.6
case1066,case1-60-0-1-2-4-1-8-1-0-3.png,70.9,79.7,77.4,70.7,71.5
case1067,case1-60-0-1-2-4-1-8-1-0-6.png,70.7,37,21.7,22.9,42.4
case1068,case1-60-0-1-2-4-1-12-0-0-3.png,70.4,78.4,75,67.8,69
case1069,case1-60-0-1-2-4-1-12-0-0-6.png,0,0,0,0,0
case1070,case1-60-0-1-2-4-1-12-1-0-3.png,26.5,34.7,51.5,55,49.8
case1071,case1-60-0-1-2-4-1-12-1-0-6.png,39.5,48.5,63,67,65.6
case1072,case1-60-0-1-2-10-0-0-0-0-0.png,37.9,45.3,58.8,61.1,58.2
case1073,case1-60-0-1-2-10-1-0-0-0-0.png,47,55,68,71,70.1
case1074,case1-60-0-1-2-10-1-0-1-0-0.png,36.9,44.9,59.5,61.5,60.6
case1075,case1-60-0-1-2-10-1-4-0-0-3.png,49.3,56.1,69,70,69.8
case1076,case1-60-0-1-2-10-1-4-0-0-6.png,43.3,49.3,62.1,64.1,63.6
case1077,case1-60-0-1-2-10-1-4-1-0-3.png,52.1,58.8,70.6,72.1,71.7
case1078,case1-60-0-1-2-10-1-4-1-0-6.png,0,0,0,0,0
case1079,case1-60-0-1-2-10-1-8-0-0-3.png,-3.8,-1.1,-0.7,0.8,-0.1
case1080,case1-60-0-1-2-10-1-8-0-0-6.png,46.4,32,39.1,38.3,35.3
case1081,case1-60-0-1-2-10-1-8-1-0-3.png,39.2,37.2,42.4,38.1,34.6
case1082,case1-60-0-1-2-10-1-8-1-0-6.png,64.5,55.3,57.8,55.7,51.3
case1083,case1-60-0-1-2-10-1-12-0-0-3.png,41.6,42,46.7,42.4,36.9
case1084,case1-60-0-1-2-10-1-12-0-0-6.png,66.9,63.3,55,54.1,51.7
case1085,case1-60-0-1-2-10-1-12-1-0-3.png,56.9,57.4,59.2,49,44.5
case1086,case1-60-0-1-2-10-1-12-1-0-6.png,71.5,72.7,71.2,69.1,63.3
case1087,case1-60-0-1-3-1-0-0-0-0-0.png,0,0,0,0,0
case1088,case1-60-0-1-3-1-1-0-0-0-0.png,-161.7,3.3,2.2,-2,-6
case1089,case1-60-0-1-3-1-1-0-1-0-0.png,4.8,76.9,71.5,59.9,47.6
