,Å´ÉPÅ[ÉXñºÇì¸óÕ,å¯â uÅÉ1,å¯â 1ÅÖuÅÉ2,å¯â 2ÅÖuÅÉ3,å¯â 3ÅÖuÅÉ10,å¯â uÅÑ10
case729,case1-45-1-1-2-1-1-12-0-0-3.png,98.2,97.3,96.5,96.3,96.3
case730,case1-45-1-1-2-1-1-12-1-0-3.png,98.3,98.5,98.7,98.8,98.9
case731,case1-45-1-0-1-1-0-4-0-0-6.png,54.3,72.1,64.3,61.1,59.3
case732,case1-45-1-0-1-1-0-4-1-0-6.png,67,85.1,87.1,86.5,84.7
case733,case1-45-1-0-1-1-0-8-0-0-6.png,73.2,86.9,87,86.3,84.2
case734,case1-45-1-0-1-1-0-8-1-0-6.png,75.9,89.9,91.3,91.9,92.1
case735,case1-45-1-0-1-1-0-12-0-0-6.png,80.7,90.8,91.6,91.5,91.1
case736,case1-45-1-0-1-1-0-12-1-0-6.png,79.8,92.2,93.5,94.2,94.5
case737,case1-45-1-0-2-1-0-4-0-0-6.png,94.9,92.9,92.5,87.6,88
case738,case1-45-1-0-2-1-0-4-1-0-6.png,96.5,96.9,97.3,97.5,97.7
case739,case1-45-1-0-2-1-0-8-0-0-6.png,95.7,94.1,93.5,92.7,93
case740,case1-45-1-0-2-1-0-8-1-0-6.png,97,97.6,97.9,98,98.3
case741,case1-45-1-0-2-1-0-12-0-0-6.png,98,97,96.5,96.2,96.3
case742,case1-45-1-0-2-1-0-12-1-0-6.png,97.6,98.3,98.6,98.7,98.8
case743,case1-45-1-1-1-1-1-4-0-0-6.png,74.7,84.5,83.6,83.7,82.6
case744,case1-45-1-1-1-1-1-4-1-0-6.png,84,92.3,93.7,94.2,94.4
case745,case1-45-1-1-1-1-1-8-0-0-6.png,82.3,91.9,93.2,93.2,93.1
case746,case1-45-1-1-1-1-1-8-1-0-6.png,88.9,94.8,95.8,96.3,96.7
case747,case1-45-1-1-1-1-1-12-0-0-6.png,85.8,94,95.2,95.7,95.9
case748,case1-45-1-1-1-1-1-12-1-0-6.png,91.6,96,96.8,97.3,97.6
case749,case1-45-1-1-2-1-1-4-0-0-6.png,94.8,92.9,92.4,87.6,88.1
case750,case1-45-1-1-2-1-1-4-1-0-6.png,97,97.1,97.5,97.6,97.9
case751,case1-45-1-1-2-1-1-8-0-0-6.png,95.6,93.7,93.5,92.7,92.9
case752,case1-45-1-1-2-1-1-8-1-0-6.png,97.5,97.8,98,98.2,98.4
case753,case1-45-1-1-2-1-1-12-0-0-6.png,98,97.1,96.3,96.1,96.3
case754,case1-45-1-1-2-1-1-12-1-0-6.png,98.1,98.4,98.7,98.7,98.9
case755,case1-45-1-0-1-4-0-0-0-0-0.png,0,0,0,0,0
case756,case1-45-1-0-1-4-0-0-1-0-0.png,29.1,28.9,30.3,31.6,34.7
case757,case1-45-1-0-1-4-0-4-0-0-3.png,24.8,31.4,31.9,31.4,29.2
case758,case1-45-1-0-1-4-0-4-1-0-3.png,46.1,48.4,48.8,48.8,51.1
case759,case1-45-1-0-1-4-0-8-0-0-3.png,42,48.7,49,48,49.1
case760,case1-45-1-0-1-4-0-8-1-0-3.png,57.6,60.3,61.2,60.6,62.2
case761,case1-45-1-0-1-4-0-12-0-0-3.png,50.6,57.1,57.6,56.8,57.6
case762,case1-45-1-0-1-4-0-12-1-0-3.png,63.1,66.7,67.3,67,67.9
case763,case1-45-1-0-2-4-0-0-0-0-0.png,0,0,0,0,0
case764,case1-45-1-0-2-4-0-0-1-0-0.png,76.6,68.4,67,56,53.7
case765,case1-45-1-0-2-4-0-4-0-0-3.png,70,67.9,69.2,64.6,63.2
case766,case1-45-1-0-2-4-0-4-1-0-3.png,86.9,87.3,86.4,86.1,76.6
case767,case1-45-1-0-2-4-0-8-0-0-3.png,76,77.2,78.1,73.7,69.3
case768,case1-45-1-0-2-4-0-8-1-0-3.png,89.2,89.4,88.4,87.7,86.4
case769,case1-45-1-0-2-4-0-12-0-0-3.png,83.6,83.1,83.4,83.8,81.9
case770,case1-45-1-0-2-4-0-12-1-0-3.png,90.8,92.2,91.7,91.5,91.3
case771,case1-45-1-1-1-4-0-0-0-0-0.png,0,0,0,0,0
case772,case1-45-1-1-1-4-1-0-0-0-0.png,33.4,49.7,58.7,64.2,67
case773,case1-45-1-1-1-4-1-0-1-0-0.png,54,65.3,71.7,75.5,78.4
case774,case1-45-1-1-1-4-1-4-0-0-3.png,51,65.2,71.2,74.8,76.3
case775,case1-45-1-1-1-4-1-4-1-0-3.png,64.9,73.8,78.9,81.7,83.7
case776,case1-45-1-1-1-4-1-8-0-0-3.png,61.6,73.3,78,80.7,82.6
case777,case1-45-1-1-1-4-1-8-1-0-3.png,71.7,80,83.5,85.8,87.3
case778,case1-45-1-1-1-4-1-12-0-0-3.png,66.7,76.8,81.4,83.7,85.4
case779,case1-45-1-1-1-4-1-12-1-0-3.png,76,82.9,85.8,87.9,89.1
case780,case1-45-1-1-2-4-0-0-0-0-0.png,0,0,0,0,0
case781,case1-45-1-1-2-4-1-0-0-0-0.png,2.4,2.9,-7.6,-0.2,0.8
case782,case1-45-1-1-2-4-1-0-1-0-0.png,77,70,64,63.9,62.3
case783,case1-45-1-1-2-4-1-4-0-0-3.png,69.2,68.2,66.6,65.9,62.9
case784,case1-45-1-1-2-4-1-4-1-0-3.png,88.2,87.9,85.9,86.7,76.7
case785,case1-45-1-1-2-4-1-8-0-0-3.png,75.7,76.9,75.9,74.5,68.6
case786,case1-45-1-1-2-4-1-8-1-0-3.png,89.6,89.7,87.9,88,86.1
case787,case1-45-1-1-2-4-1-12-0-0-3.png,83.2,82.8,82,84,81.8
case788,case1-45-1-1-2-4-1-12-1-0-3.png,91.2,92.2,91.2,91.8,91.5
case789,case1-45-1-0-1-4-0-4-0-0-6.png,26.5,31.5,31.9,30.9,29.7
case790,case1-45-1-0-1-4-0-4-1-0-6.png,46,48.4,48.5,49,51.3
case791,case1-45-1-0-1-4-0-8-0-0-6.png,41.8,49.2,48.7,47.9,48.7
case792,case1-45-1-0-1-4-0-8-1-0-6.png,57.1,60.3,60.6,60.6,62
case793,case1-45-1-0-1-4-0-12-0-0-6.png,50.2,56.8,56.7,56.4,57
case794,case1-45-1-0-1-4-0-12-1-0-6.png,63.6,66.2,67.3,66.8,67.7
case795,case1-45-1-0-2-4-0-4-0-0-6.png,70.6,67.5,69.2,64.7,62.6
case796,case1-45-1-0-2-4-0-4-1-0-6.png,87,87.2,86.3,86,76.6
case797,case1-45-1-0-2-4-0-8-0-0-6.png,76.6,76.8,78.2,74.3,69
case798,case1-45-1-0-2-4-0-8-1-0-6.png,88.9,89.2,88.2,87.4,86.1
case799,case1-45-1-0-2-4-0-12-0-0-6.png,83.5,82.9,83.2,83.5,81.8
case800,case1-45-1-0-2-4-0-12-1-0-6.png,90.8,91.9,91.6,91.3,91.2
case801,case1-45-1-1-1-4-1-4-0-0-6.png,51.4,65.5,71,74.9,76.3
case802,case1-45-1-1-1-4-1-4-1-0-6.png,64.2,73.9,78.6,81.8,83.7
case803,case1-45-1-1-1-4-1-8-0-0-6.png,61.3,73.3,77.9,80.7,82.5
case804,case1-45-1-1-1-4-1-8-1-0-6.png,71.3,79.9,83.3,85.7,87.1
case805,case1-45-1-1-1-4-1-12-0-0-6.png,66.8,77.3,81.2,83.7,85.2
case806,case1-45-1-1-1-4-1-12-1-0-6.png,75.5,82.7,85.8,87.7,89
case807,case1-45-1-1-2-4-1-4-0-0-6.png,69.3,67.7,65.5,65.2,63.6
case808,case1-45-1-1-2-4-1-4-1-0-6.png,87.9,87.7,85.9,86.6,76.7
case809,case1-45-1-1-2-4-1-8-0-0-6.png,77.5,76.6,76.1,74.5,68.9
case810,case1-45-1-1-2-4-1-8-1-0-6.png,89.5,89.5,87.8,88,86
case811,case1-45-1-1-2-4-1-12-0-0-6.png,83.1,82.6,81.7,83.8,82
case812,case1-45-1-1-2-4-1-12-1-0-6.png,90.9,92.1,91,91.7,91.3
case813,case1-45-1-0-1-10-0-0-0-0-0.png,0,0,0,0,0
case814,case1-45-1-0-1-10-0-0-1-0-0.png,17.5,23.8,24.9,27.8,31.1
case815,case1-45-1-0-1-10-0-4-0-0-3.png,15.7,21.9,16.7,15.7,16
case816,case1-45-1-0-1-10-0-4-1-0-3.png,30.1,37.9,36.8,38.5,42.3
case817,case1-45-1-0-1-10-0-8-0-0-3.png,30.3,32.4,30.4,29.2,28
case818,case1-45-1-0-1-10-0-8-1-0-3.png,40.9,46.1,45.7,47.4,51.2
case819,case1-45-1-0-1-10-0-12-0-0-3.png,35.8,39.6,38.1,37.3,35.7
case820,case1-45-1-0-1-10-0-12-1-0-3.png,45.6,50.4,51.3,52.8,56
case821,case1-45-1-0-2-10-0-0-0-0-0.png,0,0,0,0,0
case822,case1-45-1-0-2-10-0-0-1-0-0.png,56.2,47.7,49.3,52.2,42.7
case823,case1-45-1-0-2-10-0-4-0-0-3.png,48.2,45.4,44.6,45.3,40.9
case824,case1-45-1-0-2-10-0-4-1-0-3.png,72.6,64.9,60.8,61.6,58.8
case825,case1-45-1-0-2-10-0-8-0-0-3.png,54.3,55.7,52.2,50.4,44.1
case826,case1-45-1-0-2-10-0-8-1-0-3.png,75.6,71,66,66.1,62.4
case827,case1-45-1-0-2-10-0-12-0-0-3.png,64.1,67.6,63.6,59.8,54.4
case828,case1-45-1-0-2-10-0-12-1-0-3.png,80.4,82.1,79.9,77.5,69.5
case829,case1-45-1-1-1-10-0-0-0-0-0.png,0,0,0,0,0
case830,case1-45-1-1-1-10-1-0-0-0-0.png,22.7,37,48.5,55.9,57.1
case831,case1-45-1-1-1-10-1-0-1-0-0.png,36.9,50.6,61,67.9,70.2
case832,case1-45-1-1-1-10-1-4-0-0-3.png,33.5,48.5,56.9,62.7,63.9
case833,case1-45-1-1-1-10-1-4-1-0-3.png,45,59.1,66.7,72.6,75
case834,case1-45-1-1-1-10-1-8-0-0-3.png,43.3,55.5,63.8,68.5,68.9
case835,case1-45-1-1-1-10-1-8-1-0-3.png,51.8,65.1,71.4,76.3,78.8
case836,case1-45-1-1-1-10-1-12-0-0-3.png,48.5,60.5,67.8,72,72.2
case837,case1-45-1-1-1-10-1-12-1-0-3.png,57,68.1,74.3,78.7,80.8
case838,case1-45-1-1-2-10-0-0-0-0-0.png,0,0,0,0,0
case839,case1-45-1-1-2-10-1-0-0-0-0.png,-5.2,-5.7,-2,0.9,1.6
case840,case1-45-1-1-2-10-1-0-1-0-0.png,54.8,44.8,47.9,52.3,43.5
case841,case1-45-1-1-2-10-1-4-0-0-3.png,42.4,42.5,42.3,44.6,41.3
case842,case1-45-1-1-2-10-1-4-1-0-3.png,71.6,62.3,59.7,61.7,59.1
case843,case1-45-1-1-2-10-1-8-0-0-3.png,49.8,53.2,50.8,50.6,45.2
case844,case1-45-1-1-2-10-1-8-1-0-3.png,74.4,69.8,65.3,66,63.2
case845,case1-45-1-1-2-10-1-12-0-0-3.png,60.7,65.8,62.4,60.1,54.9
case846,case1-45-1-1-2-10-1-12-1-0-3.png,79,81.4,79.3,77.5,69.9
case847,case1-45-1-0-1-10-0-4-0-0-6.png,15.2,19.8,16.4,15.7,16
case848,case1-45-1-0-1-10-0-4-1-0-6.png,29.6,36.5,36.1,38.4,42.1
case849,case1-45-1-0-1-10-0-8-0-0-6.png,28.5,31.5,30.1,29.2,28
case850,case1-45-1-0-1-10-0-8-1-0-6.png,39.1,45.6,45.3,47.3,51
case851,case1-45-1-0-1-10-0-12-0-0-6.png,35.1,39.1,37.8,37.4,35.5
case852,case1-45-1-0-1-10-0-12-1-0-6.png,44.9,50.2,51.2,52.5,55.8
case853,case1-45-1-0-2-10-0-4-0-0-6.png,48.2,47.3,45.2,44.9,40.9
case854,case1-45-1-0-2-10-0-4-1-0-6.png,72.4,64.4,60.9,61.3,58.8
case855,case1-45-1-0-2-10-0-8-0-0-6.png,53.5,55.6,52.8,50.3,44.3
case856,case1-45-1-0-2-10-0-8-1-0-6.png,75.6,70.7,66,66,62.2
case857,case1-45-1-0-2-10-0-12-0-0-6.png,64,67.1,63.7,60,54.3
case858,case1-45-1-0-2-10-0-12-1-0-6.png,79.7,82.1,80,77.5,69.6
case859,case1-45-1-1-1-10-1-4-0-0-6.png,34,49.1,56.9,62.7,63.9
case860,case1-45-1-1-1-10-1-4-1-0-6.png,44.8,59.2,66.7,72.6,75
case861,case1-45-1-1-1-10-1-8-0-0-6.png,44.6,55.6,63.6,68.5,68.9
case862,case1-45-1-1-1-10-1-8-1-0-6.png,51.8,64.6,71.2,76.4,78.7
case863,case1-45-1-1-1-10-1-12-0-0-6.png,49.1,61.5,67.5,72.1,72.2
case864,case1-45-1-1-1-10-1-12-1-0-6.png,56,67.7,74,78.6,80.8
case865,case1-45-1-1-2-10-1-4-0-0-6.png,42.8,42.9,41.9,44.8,41.5
case866,case1-45-1-1-2-10-1-4-1-0-6.png,71,62.2,59.6,61.6,59.1
case867,case1-45-1-1-2-10-1-8-0-0-6.png,48.8,51.5,50.1,50.1,44.8
case868,case1-45-1-1-2-10-1-8-1-0-6.png,74.3,69,65.1,65.7,63.2
case869,case1-45-1-1-2-10-1-12-0-0-6.png,61.7,64.6,62.1,59.8,54.4
case870,case1-45-1-1-2-10-1-12-1-0-6.png,78.6,81,79.2,77.5,69.8
case871,case1-60-0-0-1-1-0-0-0-0-0.png,0,0,0,0,0
case872,case1-60-0-0-1-1-0-0-1-0-0.png,24.3,50.3,32.5,6.1,15.5
case873,case1-60-0-0-1-1-0-4-0-0-3.png,28,56.9,45.9,23.6,24.7
case874,case1-60-0-0-1-1-0-4-1-0-3.png,30,61.2,54.8,38.1,36.9
case875,case1-60-0-0-1-1-0-8-0-0-3.png,46.3,74.8,72.9,67.5,71.5
case876,case1-60-0-0-1-1-0-8-1-0-3.png,51,78,78.8,75.1,78.6
case877,case1-60-0-0-1-1-0-12-0-0-3.png,48.2,76.5,75.3,70.8,76.5
case878,case1-60-0-0-1-1-0-12-1-0-3.png,45.3,77.7,79.8,79,82.7
case879,case1-60-0-0-2-1-0-0-0-0-0.png,0,0,0,0,0
case880,case1-60-0-0-2-1-0-0-1-0-0.png,87,82.8,75.7,63.3,47.5
case881,case1-60-0-0-2-1-0-4-0-0-3.png,80.3,84.8,81.7,71.9,50.4
case882,case1-60-0-0-2-1-0-4-1-0-3.png,87.4,86.8,85.4,79.9,67.7
case883,case1-60-0-0-2-1-0-8-0-0-3.png,82.4,87.8,88.8,84.8,80
case884,case1-60-0-0-2-1-0-8-1-0-3.png,89.2,90.5,90.6,87.6,83.8
case885,case1-60-0-0-2-1-0-12-0-0-3.png,86.5,88.2,86.2,82.5,75.5
case886,case1-60-0-0-2-1-0-12-1-0-3.png,89.1,90,90,87.6,83.7
case887,case1-60-0-0-3-1-0-0-0-0-0.png,0,0,0,0,0
case888,case1-60-0-0-3-1-0-0-1-0-0.png,25.1,24.6,33.3,47.9,36
case889,case1-60-0-0-3-1-0-4-0-0-3.png,48.6,59.5,69.7,82,85.4
case890,case1-60-0-0-3-1-0-4-1-0-3.png,49.6,62.4,76.7,86.7,88.8
case891,case1-60-0-0-3-1-0-8-0-0-3.png,47.4,59.7,70.3,82.1,85.4
case892,case1-60-0-0-3-1-0-8-1-0-3.png,53.8,63.5,76.7,86.7,88.9
case893,case1-60-0-0-3-1-0-12-0-0-3.png,51.1,64.5,75.1,84.9,87.6
case894,case1-60-0-0-3-1-0-12-1-0-3.png,54.8,67.5,80,88.6,90.5
case895,case1-60-0-1-1-1-0-0-0-0-0.png,0,0,0,0,0
case896,case1-60-0-1-1-1-1-0-0-0-0.png,26.2,41.2,44.5,35.3,28.8
case897,case1-60-0-1-1-1-1-0-1-0-0.png,41.5,67.6,58,44.7,41.9
case898,case1-60-0-1-1-1-1-4-0-0-3.png,46.3,71.1,66.4,53.9,45.3
case899,case1-60-0-1-1-1-1-4-1-0-3.png,47.4,74.2,74.5,63.3,55.6
case900,case1-60-0-1-1-1-1-8-0-0-3.png,59.7,81.9,82.9,80.8,80.1
case901,case1-60-0-1-1-1-1-8-1-0-3.png,61.1,85,86.9,85.4,85.3
case902,case1-60-0-1-1-1-1-12-0-0-3.png,62.1,84.2,84.2,82.3,83.4
case903,case1-60-0-1-1-1-1-12-1-0-3.png,62.8,85.9,87.6,87.1,87.7
case904,case1-60-0-1-2-1-0-0-0-0-0.png,0,0,0,0,0
case905,case1-60-0-1-2-1-1-0-0-0-0.png,8.3,9.4,6.2,4.9,4.6
case906,case1-60-0-1-2-1-1-0-1-0-0.png,86.2,84.1,77.9,68,53
case907,case1-60-0-1-2-1-1-4-0-0-3.png,81.9,86.7,83.7,73.7,51.8
case908,case1-60-0-1-2-1-1-4-1-0-3.png,88.6,89.1,87.7,81.6,69.2
case909,case1-60-0-1-2-1-1-8-0-0-3.png,83.7,89.4,89.1,85.5,80.6
case910,case1-60-0-1-2-1-1-8-1-0-3.png,91.1,92.1,91.3,88.7,84.5
case911,case1-60-0-1-2-1-1-12-0-0-3.png,86.6,89.2,86.7,82.1,75
case912,case1-60-0-1-2-1-1-12-1-0-3.png,90.7,91.7,90.8,88.2,83.2
case913,case1-60-0-1-3-1-0-0-0-0-0.png,0,0,0,0,0
case914,case1-60-0-1-3-1-1-0-0-0-0.png,2.3,3.8,15.5,-5.4,-5.1
case915,case1-60-0-1-3-1-1-0-1-0-0.png,21.1,31.3,50.5,39.5,39
case916,case1-60-0-1-3-1-1-4-0-0-3.png,45.3,58.6,74.6,81.2,84.5
case917,case1-60-0-1-3-1-1-4-1-0-3.png,50.1,62.8,80,85.8,88.3
case918,case1-60-0-1-3-1-1-8-0-0-3.png,46.7,58.9,74.4,81.2,84.7
case919,case1-60-0-1-3-1-1-8-1-0-3.png,46.6,63.4,80.3,85.9,88.4
case920,case1-60-0-1-3-1-1-12-0-0-3.png,52.3,63.7,78.5,84.1,86.8
case921,case1-60-0-1-3-1-1-12-1-0-3.png,54,67.5,82.5,88.2,90.1
case922,case1-60-0-0-1-1-0-4-0-0-6.png,30.9,58.2,50,39,48.6
case923,case1-60-0-0-1-1-0-4-1-0-6.png,35,63.1,57.6,48,55.7
case924,case1-60-0-0-1-1-0-8-0-0-6.png,46.1,75.1,74.4,70.1,75.6
case925,case1-60-0-0-1-1-0-8-1-0-6.png,49,78,79.3,76.5,80.6
case926,case1-60-0-0-1-1-0-12-0-0-6.png,47.6,77,76.2,73.8,79.2
case927,case1-60-0-0-1-1-0-12-1-0-6.png,44.8,77.8,80.5,79.7,83.7
case928,case1-60-0-0-2-1-0-4-0-0-6.png,81.4,85.4,82.2,75.4,65.2
case929,case1-60-0-0-2-1-0-4-1-0-6.png,87.2,87.5,86.1,81.3,75.8
case930,case1-60-0-0-2-1-0-8-0-0-6.png,83.2,88.6,89.8,85.8,82.2
case931,case1-60-0-0-2-1-0-8-1-0-6.png,89.7,90.8,90.8,88.2,85
case932,case1-60-0-0-2-1-0-12-0-0-6.png,86.7,88.7,86.9,82.8,77.5
case933,case1-60-0-0-2-1-0-12-1-0-6.png,89,90.3,90.4,88.2,84.9
case934,case1-60-0-0-3-1-0-4-0-0-6.png,49,60.1,70.3,82.6,86.1
case935,case1-60-0-0-3-1-0-4-1-0-6.png,52.7,63.6,76.8,86.8,89.3
case936,case1-60-0-0-3-1-0-8-0-0-6.png,48.4,60.7,71.1,83,86.3
case937,case1-60-0-0-3-1-0-8-1-0-6.png,54.5,64.5,77,87.3,89.5
case938,case1-60-0-0-3-1-0-12-0-0-6.png,52.7,65.8,75.9,85.8,88.5
case939,case1-60-0-0-3-1-0-12-1-0-6.png,52.8,68.1,80.5,89.1,91.1
case940,case1-60-0-1-1-1-1-4-0-0-6.png,47.7,72.1,68.5,62.6,62.8
case941,case1-60-0-1-1-1-1-4-1-0-6.png,47.8,74.6,75.7,68.8,68.5
case942,case1-60-0-1-1-1-1-8-0-0-6.png,59.8,83.2,83.5,82,82.7
case943,case1-60-0-1-1-1-1-8-1-0-6.png,60.4,85.4,87.1,86.2,86.4
case944,case1-60-0-1-1-1-1-12-0-0-6.png,62.5,84.7,84.9,83.8,85.3
case945,case1-60-0-1-1-1-1-12-1-0-6.png,61.7,84.3,87.6,87.5,88.5
case946,case1-60-0-1-2-1-1-4-0-0-6.png,83,87.1,84,77.2,67.3
case947,case1-60-0-1-2-1-1-4-1-0-6.png,88.7,88.8,87.3,82.1,76.5
case948,case1-60-0-1-2-1-1-8-0-0-6.png,84,89.8,90.1,86.1,82.6
case949,case1-60-0-1-2-1-1-8-1-0-6.png,91,91.9,91.7,89.3,85.7
case950,case1-60-0-1-2-1-1-12-0-0-6.png,87.3,89.7,87.6,84,78.1
case951,case1-60-0-1-2-1-1-12-1-0-6.png,90.8,91.7,91.2,88.6,84.6
case952,case1-60-0-1-3-1-1-4-0-0-6.png,47.5,59.6,74.6,81.8,85.4
case953,case1-60-0-1-3-1-1-4-1-0-6.png,50.5,63.5,80.2,86.1,88.7
case954,case1-60-0-1-3-1-1-8-0-0-6.png,47.1,60.1,75,82.1,85.6
case955,case1-60-0-1-3-1-1-8-1-0-6.png,50.8,63.9,80.4,86.4,89
case956,case1-60-0-1-3-1-1-12-0-0-6.png,50.4,65.3,79,84.9,87.8
case957,case1-60-0-1-3-1-1-12-1-0-6.png,50.4,68.5,83.2,88.4,90.7
case958,case1-60-0-0-1-4-0-0-0-0-0.png,0,0,0,0,0
case959,case1-60-0-0-1-4-0-0-1-0-0.png,40.7,32.6,33.9,29.6,24.5
case960,case1-60-0-0-1-4-0-4-0-0-3.png,31.2,30.1,31.7,25.1,14.3
case961,case1-60-0-0-1-4-0-4-1-0-3.png,55.6,49.2,50.3,45.6,37.4
case962,case1-60-0-0-1-4-0-8-0-0-3.png,48.6,47.8,49.2,49.7,55.7
case963,case1-60-0-0-1-4-0-8-1-0-3.png,65.4,62.6,63,63.7,65.9
case964,case1-60-0-0-1-4-0-12-0-0-3.png,55.1,54.8,57.1,57.1,64
case965,case1-60-0-0-1-4-0-12-1-0-3.png,70.2,68.1,68.5,68.6,72
case966,case1-60-0-0-2-4-0-0-0-0-0.png,0,0,0,0,0
case967,case1-60-0-0-2-4-0-0-1-0-0.png,53.7,41.9,42.8,44.6,49.6
case968,case1-60-0-0-2-4-0-4-0-0-3.png,64.7,66.1,66.2,62,52.9
case969,case1-60-0-0-2-4-0-4-1-0-3.png,76.7,79.5,81.4,79.9,73
case970,case1-60-0-0-2-4-0-8-0-0-3.png,69.1,72,74.5,70.3,64.8
case971,case1-60-0-0-2-4-0-8-1-0-3.png,81,82.9,82.1,83,81.5
case972,case1-60-0-0-2-4-0-12-0-0-3.png,77.7,78.3,79.8,79,65.8
case973,case1-60-0-0-2-4-0-12-1-0-3.png,83.3,87,87.7,87.2,81.7
case974,case1-60-0-0-3-4-0-0-0-0-0.png,0,0,0,0,0
case975,case1-60-0-0-3-4-0-0-1-0-0.png,17,23.3,33.3,51.5,37.5
case976,case1-60-0-0-3-4-0-4-0-0-3.png,20.9,32.6,42.9,66.5,71.7
case977,case1-60-0-0-3-4-0-4-1-0-3.png,30.9,42.7,55,74.1,79.3
case978,case1-60-0-0-3-4-0-8-0-0-3.png,22.3,31.8,43.2,66.3,72.2
case979,case1-60-0-0-3-4-0-8-1-0-3.png,33,42.2,55,74.1,79.4
case980,case1-60-0-0-3-4-0-12-0-0-3.png,29.3,39.6,50.3,71.4,76.8
case981,case1-60-0-0-3-4-0-12-1-0-3.png,36.1,47.7,60.9,77.7,82.3
case982,case1-60-0-1-1-4-0-0-0-0-0.png,0,0,0,0,0
case983,case1-60-0-1-1-4-1-0-0-0-0.png,28.4,39.6,45.4,48.3,30.5
case984,case1-60-0-1-1-4-1-0-1-0-0.png,59,60.6,64.9,64.1,47.3
case985,case1-60-0-1-1-4-1-4-0-0-3.png,48.8,57.2,62,60.8,39.9
case986,case1-60-0-1-1-4-1-4-1-0-3.png,69.2,69.9,73.3,71.9,55.9
case987,case1-60-0-1-1-4-1-8-0-0-3.png,61.6,68.4,71.2,73.4,68.6
case988,case1-60-0-1-1-4-1-8-1-0-3.png,75.1,77.2,79.8,81.2,75.9
case989,case1-60-0-1-1-4-1-12-0-0-3.png,66.4,71.9,75.5,77.4,74.6
case990,case1-60-0-1-1-4-1-12-1-0-3.png,78.2,80.4,82.3,83.5,80.1
case991,case1-60-0-1-2-4-0-0-0-0-0.png,0,0,0,0,0
case992,case1-60-0-1-2-4-1-0-0-0-0.png,0,2.1,2.6,1.5,0
case993,case1-60-0-1-2-4-1-0-1-0-0.png,57.8,43.7,45.7,46.3,50.3
case994,case1-60-0-1-2-4-1-4-0-0-3.png,63.8,67.7,67,62.1,53.7
case995,case1-60-0-1-2-4-1-4-1-0-3.png,79.5,81,81.4,80.5,73.7
case996,case1-60-0-1-2-4-1-8-0-0-3.png,69.3,72.2,75.4,71,65.1
case997,case1-60-0-1-2-4-1-8-1-0-3.png,82.7,83.9,83.2,83.7,81.3
case998,case1-60-0-1-2-4-1-12-0-0-3.png,75.2,79.1,80.4,79.3,66.7
case999,case1-60-0-1-2-4-1-12-1-0-3.png,84.7,87.8,87.7,87.3,82.2
case1000,case1-60-0-1-3-4-0-0-0-0-0.png,0,0,0,0,0
case1001,case1-60-0-1-3-4-1-0-0-0-0.png,6.8,-2.7,2.6,-6.7,-2.9
case1002,case1-60-0-1-3-4-1-0-1-0-0.png,19.1,20.3,36,47.2,35.5
case1003,case1-60-0-1-3-4-1-4-0-0-3.png,22.6,29.4,44.1,63.9,70.7
case1004,case1-60-0-1-3-4-1-4-1-0-3.png,31.5,40.3,56.3,72.4,78.6
case1005,case1-60-0-1-3-4-1-8-0-0-3.png,24.2,28.8,44.4,63.5,71.1
case1006,case1-60-0-1-3-4-1-8-1-0-3.png,31.5,39.8,56.3,72.3,78.4
case1007,case1-60-0-1-3-4-1-12-0-0-3.png,29.5,36.3,51.6,68.7,75.8
case1008,case1-60-0-1-3-4-1-12-1-0-3.png,33.5,45.3,62.2,76.1,81.6
case1009,case1-60-0-0-1-4-0-4-0-0-6.png,31.5,31.1,31.5,26.3,18.7
case1010,case1-60-0-0-1-4-0-4-1-0-6.png,55.3,48.8,50.9,46.1,39.4
case1011,case1-60-0-0-1-4-0-8-0-0-6.png,49.2,48.5,49.1,50,56.7
case1012,case1-60-0-0-1-4-0-8-1-0-6.png,64.5,62.6,63.1,64,66.6
case1013,case1-60-0-0-1-4-0-12-0-0-6.png,55.1,54.8,56.2,57.3,65
case1014,case1-60-0-0-1-4-0-12-1-0-6.png,69.3,68.4,68.2,68.4,72.5
case1015,case1-60-0-0-2-4-0-4-0-0-6.png,63.9,66.9,65.9,62,56.5
case1016,case1-60-0-0-2-4-0-4-1-0-6.png,76.7,79.7,81.1,80,74.3
case1017,case1-60-0-0-2-4-0-8-0-0-6.png,69,72,74.4,70.7,65.5
case1018,case1-60-0-0-2-4-0-8-1-0-6.png,81.1,82.9,82,83.2,81.9
case1019,case1-60-0-0-2-4-0-12-0-0-6.png,75.9,77.9,79.7,79.4,67.3
case1020,case1-60-0-0-2-4-0-12-1-0-6.png,83.6,86.8,87.8,87,82
case1021,case1-60-0-0-3-4-0-4-0-0-6.png,19.2,30.2,41.9,66.3,72
case1022,case1-60-0-0-3-4-0-4-1-0-6.png,30.7,41.8,54.3,73.8,79.4
case1023,case1-60-0-0-3-4-0-8-0-0-6.png,19.7,30.6,42.6,66.4,72.3
case1024,case1-60-0-0-3-4-0-8-1-0-6.png,31.1,40.9,54.5,74,79.7
case1025,case1-60-0-0-3-4-0-12-0-0-6.png,28,37.8,49.7,71.4,77.1
case1026,case1-60-0-0-3-4-0-12-1-0-6.png,37.4,46.8,60.3,77.6,82.5
case1027,case1-60-0-1-1-4-1-4-0-0-6.png,50.1,57.8,62,61.1,42.6
